ETC_20150317_000001	Kepa	케파
ETC_20150317_000260	พวกมอนสเตอร์ได้มีการเปลี่ยนแปลงไปมากหลังจากที่มันถูกยึดกับมอนสเตอร์ขนาดใหญ่	큰 몬스터에게 갈고리를 사용하여 붙어서 마계로부터 넘어온 후 많은 변화를 한 몬스터입니다. 
ETC_20150317_000261	Stumpy Tree	몽당 나무
ETC_20150317_000262	แม้ว่าการตัดไม้นั้นจะลดลงแล้ว แต่เหล่ามอนสเตอร์ที่กำเนิดจากตอไม้ก็ยังคงปรากฎให้เห็น. พวกเขาเกิดขึ้นจากสารตกค้างของมอนสเตอร์ประเภทพืช	벌목이 줄었어도 그루터기에서 기인한 이 몬스터는 계속 생깁니다. 수목형 몬스터의 잔재에서 생성이 목격됩니다. 
ETC_20150317_000263	Catacomb Gravegolem	카타콤 묘지골렘
ETC_20150317_000264	Root Mole	뿌리두더쥐
ETC_20150317_000265	Poiming	포이밍
ETC_20150317_000266	Root of the Tree Mole	나무뿌리 두더지
ETC_20150317_000267	Eye of Mirtis	미르티스의 눈
ETC_20150317_000268	Eye of Great Mirtis	대형 미르티스의 눈
ETC_20150317_000269	Stone	돌
ETC_20150317_000270	การระเบิดของ Vubbe	부베 박멸용 폭탄
ETC_20150317_000271	ระเบิดเวลา (คะแนนดันเจี้ยนเท่านั้น)	시한폭탄 (스코어던전 전용)
ETC_20150317_000272	Time Bomb	시한폭탄
ETC_20150317_000273	OBB stone	OBB돌
ETC_20150317_000274	Male Wizard	남자 마법사
ETC_20150317_000275	Female Wizard	여자 마법사
ETC_20150317_000276	Damaged Seal	파손된 봉인
ETC_20150317_000277	Symbol of Sin	죄악의 상징
ETC_20150317_000278	( ชั่วคราว ) อุปกรณ์ควบคุมคุก	(임시)감옥 통제 장치
ETC_20150317_000279	Collapsed Guard	쓰러진 경비병
ETC_20150317_000280	Mercenary	용병
ETC_20150317_000281	Ghost Soldier	유령 병사
ETC_20150317_000282	Deserter	탈영병
ETC_20150317_000283	Lunatic Soldier	광증걸린 전투병
ETC_20150317_000284	Tied Combatant	묶인 전투원
ETC_20150317_000285	Mercenary Officer	용병 장교
ETC_20150317_000286	Condottiere	용병 대장
ETC_20150317_000287	Shield Mercenary	방패 용병
ETC_20150317_000288	Ghost Armor	유령 갑옷
ETC_20150317_000289	Large Ghost Armor	대형 유령 갑옷
ETC_20150317_000290	Follower Ghost	신도 유령
ETC_20150317_000291	Boy Ghost	유령 소년
ETC_20150317_000292	Madam Ghost	유령 아줌마
ETC_20150317_000293	Ghost Uncle	유령 아저씨
ETC_20150317_000294	Follower Ghost Leader	신도 유령 수장
ETC_20150317_000295	Follower Ghost (Alter Ego)	신도 유령(분신)
ETC_20150317_000296	Three-Eyed Horn	뿔 세눈박이
ETC_20150317_000297	Three-Eyed Wing	날개 세눈박이
ETC_20150317_000298	Follower	신도
ETC_20150317_000299	Heavy Infantry Zombie	좀비 중보병
ETC_20150317_000300	Magic Book	매직북
ETC_20150317_000301	Unripe Pumpkin	덜 익은 호박
ETC_20150317_000302	Well Die Onion	잘 죽는 양파
ETC_20150317_000303	Large HP Onion	피통 큰 양파
ETC_20150317_000304	Amber Target	호박 타겟
ETC_20150317_000305	Stake Stockades	방책
ETC_20150317_000306	Defense Guardian	디펜스 수호물
ETC_20150317_000307	Babauzi	바바우지스
ETC_20150317_000308	Nachi Zombie	나사 좀비
ETC_20150317_000309	Zombie Berserker	좀비 광전사
ETC_20150317_000310	Candle Zombie	양초 좀비
ETC_20150317_000311	Zombie Shooter	좀비 궁수
ETC_20150317_000312	Wheelchair Zombie	휠체어 좀비
ETC_20150317_000313	High Vubbe Archer	하이 부베 궁수
ETC_20150317_000314	Desmodus	데스모두스
ETC_20150317_000315	ทฤษฎีที่เป็นที่นิยมคือการที่คุณจะต้องเป็นปีศาจที่จะใช้ผู้ส่งสารนี้	일설에는 마족들이 전령으로 이용한다고도 합니다.
ETC_20150317_000316	Treasure Vubbe	트레저 부베
ETC_20150317_000317	Vubbe Thief	부베 약탈자
ETC_20150317_000318	Vubbe ทั่วไปที่พบได้มากที่สุด	인간들에게 가장 자주 목격되는 부베입니다.
ETC_20150317_000319	Red Vubbe Robber	붉은 부베 약탈자
ETC_20150317_000320	เมื่อเวลาผ่านไป Vubbes เหล่านี้ได้มีความหลากหลายและแตกต่าง	지난 몇 년간 부베 사회는 시간이 지날수록 급격히 분화되고 복잡해져 왔습니다. 
ETC_20150317_000321	Blue Vubbe Thief	푸른 부베 약탈자
ETC_20150317_000322	Vubbe Miner	부베 광부
ETC_20150317_000323	แม้ว่าเหมืองของพวกเขาจะเป็นที่ยอมรับ แต่กลุ่มพวกเขายังไม่เป็นที่รู้จักมากนัก ดังนั้นต้องช่วยแก้ไขให้กับพวกเขา	채굴하는 모습이 많이 목격되어 붙은 이름이지만, 부베 집단의 체계는 명확히 알려지지 않았기에 이들의 역할이 고정적인지는 모릅니다. 
ETC_20150317_000324	Red Vubbe Miner	붉은 부베 광부
ETC_20150317_000325	Blue Vubbe Miner	푸른 부베 광부
ETC_20150317_000326	Large Vubbe Miner	대형 부베 광부
ETC_20150317_000327	Vubbe Archer	부베 궁수
ETC_20150317_000328	พลธนู Vubbe มีความเชี่ยวชาญพิเศษในการใช้อาวุธระยะไกล ดังนั้นบางคนจึงอ้างว่า Vubbes มีลักษณะเฉพาะ	부베궁수는 투사무기에 특화된 모습을 보입니다. 혹자는 이런 점을 들어 부베의 직군이 명확히 짜져있다고 주장합니다.
ETC_20150317_000329	Red Vubbe archer	붉은 부베 궁수
ETC_20150317_000330	มีความเป็นไปได้ที่จะรวบรวมและใช้ธนูและลูกศรที่ Vubbes ทำขึ้น	부베들이 만든 활과 화살을 수거해서 사용하는 일도 가능하긴 합니다.
ETC_20150317_000331	Fine Observation	눈팅이
ETC_20150317_000332	Eye	눈까리
ETC_20150317_000333	Prison Guard	감옥 간수
ETC_20150317_000334	Paladin Follower A1	팔라딘 추종자A1
ETC_20150317_000335	Paladin Follower A2	팔라딘 추종자A2
ETC_20150317_000336	Paladin Follower A3	팔라딘 추종자A3
ETC_20150317_000337	Explosion Mine	폭발 지뢰
ETC_20150317_000338	Toxic Mine	맹독 지뢰
ETC_20150317_000339	Antipersonnel Mines	대인 지뢰
ETC_20150317_000340	Hell Mine	불지옥 지뢰
ETC_20150317_000341	Villager	마을사람
ETC_20150317_000342	Baby Angel Statue	아기천사상
ETC_20150317_000343	Hall Statue	홀 석상
ETC_20150317_000344	มีมอนสเตอร์บางประเภทที่ซ่อนอยู่	히든 트리거 몬스터형
ETC_20150317_000345	Owl Sculpture	부엉이 조각상
ETC_20150317_000346	Transparent Object	투명 오브젝트
ETC_20150317_000347	Fire Ball	파이어 볼
ETC_20150317_000348	Armed Tortoise Shell Large	자주포 거북 껍질 대
ETC_20150317_000349	Armed Tortoise Shell	자주포 거북 껍질
ETC_20150317_000350	Male Apostate (3D)	남자 배교자(3D)
ETC_20150317_000351	Female Apostate (3D)	여자 배교자(3D)
ETC_20150317_000352	Modification	수정
ETC_20150317_000353	Abomination	어보미네이션
ETC_20150317_000354	High Vubbe Fighter	하이 부베 투사
ETC_20150317_000355	Monster Wizard	몬스터 위저드
ETC_20150317_000356	Battery (temporary)	포대(임시)
ETC_20150317_000357	Block of Ice	얼음 덩어리
ETC_20150317_000358	Pillar of Ice	얼음 기둥
ETC_20150317_000359	Bonfire	모닥불
ETC_20150317_000360	Mine	지뢰
ETC_20150317_000361	Pavise	파비스
ETC_20150317_000362	Subzero Shield	서브제로쉴드
ETC_20150317_000363	Dice	주사위
ETC_20150317_000364	Catapult	투석기
ETC_20150317_000365	Thicket of Butterfly	나비 덤불
ETC_20150317_000366	Bramble Bush	가시덤불
ETC_20150317_000367	Sword Pell	검 연습대
ETC_20150317_000368	Bait	미끼
ETC_20150317_000369	Hit object	타격오브젝트
ETC_20150317_000370	Long-Branched Tree	긴팔 나무
ETC_20150317_000371	เป็นมอนสเตอร์พุ่มไม้ที่โจมตีโดยทั้งยิงกิ่งไม้ของตัวมัน	관목이 잔가지를 버리고  두 개의 가지를 사용하여 공격하는 형태로 변이된 몬스터입니다.
ETC_20150317_000372	Rocktor	락터
ETC_20150317_000373	Venucelos	베누켈로스
ETC_20150317_000374	ตามตำนานสุนัขเฝ้าบ้านนี้เป็นสิ่งสร้างที่กษัตริย์  Zachariel ได้วางแผนที่จะให้รักษาไว้	일설에 의하면 경비견은 자카리엘 대왕이 손수 시안을 잡아 만든 것이라 합니다.
ETC_20150317_000375	Cemetery Golem	묘지 골렘
ETC_20150317_000376	Kepa Chieftain	케파치프틴
ETC_20150317_000377	Poata	포아타
ETC_20150317_000378	Deadborn	데드본
ETC_20150317_000379	Salamander	샐러맨더
ETC_20150317_000380	Saltistter	살티스터
ETC_20150317_000381	Ginklas	긴클라스
ETC_20150317_000382	Stone Whale	석화고래
ETC_20150317_000383	Tutu	투투
ETC_20150317_000384	Yonazolem	요나졸렘
ETC_20150317_000385	Master Genie	마스터 지니
ETC_20150317_000386	Biteregina	비테레지나
ETC_20150317_000387	Iltiswort	일티스워트
ETC_20150317_000388	Giant Red Wood Goblin	자이언트 레드 우드
ETC_20150317_000389	Lepus	레푸스
ETC_20150317_000390	Mushcaria	머슈카리아
ETC_20150317_000391	Chafer	체이퍼
ETC_20150317_000392	Gaigalas	가이갈라스
ETC_20150317_000393	Throneweaver	쓰론위버
ETC_20150317_000394	Bebraspion	베브라스피온
ETC_20150317_000395	Soggy Mushwort	눅눅한 머쉬워트
ETC_20150317_000396	Sparnas	스파르나스
ETC_20150317_000397	Mineloader	마인로더
ETC_20150317_000398	Rajatoad	라자토드
ETC_20150317_000399	Shadowgaler	섀도게일러
ETC_20150317_000400	Helgasercle	헬가세르클
ETC_20150317_000401	Necroventer	네크로벤터
ETC_20150317_000402	Wriggling Lutopus	꿈틀대는 루토푸스
ETC_20150317_000403	Linkroller	링크롤러
ETC_20150317_000404	Rocktortuga	락토르투가
ETC_20150317_000405	Yekub	예쿱
ETC_20150317_000406	Poisonous Rytaswort	독포자 리타스워트
ETC_20150317_000407	Ravinepede	라바인피드
ETC_20150317_000408	Netherbovine	네더보바인
ETC_20150317_000409	Wild Carnivore	광폭해진 카너버
ETC_20150317_000410	Tomb Lord	툼로드
ETC_20150317_000411	Achat	에하트
ETC_20150317_000412	Shnayim	쉬나임
