QUEST_LV_0400_20161005_000001	Kedoran Alliance Merchant Alta	Kedoran Alliance Merchant Alta
QUEST_LV_0400_20161005_000112	Magic will come out of the recharging orb when it is activated.{nl}You'll be able to find the orb if you follow it.	เมื่อลูกแก้วทำงานจะมีพลังเวทมนตร์จะออกมา{nl}คุณจะสามารถหาลูกแก้วได้โดยตามมันไป
QUEST_LV_0400_20161005_000113	"Oh, thank you so much!{nl}Now that we have the orbs..."	โอ้ขอบคุณมาก!{nl}ทีนี้เราก็มีลูกแก้วแล้ว...
QUEST_LV_0400_20161005_000114	We have finished all of the preparations required to dispel the magic on King Kadumel's Monument.	เราได้ทำการเตรียมการสิ่งที่จำเป็นในการล้างเวทมนตร์ด้วย King Kadumel's Monument
QUEST_LV_0400_20161005_000115	You've dealt with the Gosal?{nl}I can't believe that you took that thing on single handed when the three of us...	คุณจัดการกับ Gosal แล้วรึ?{nl}ฉันไม่เชื่อว่าคุณจะสามารถนำของสิ่งนี้มาได้ด้วยมือเพียงข้างเดียว ในเมื่อมันมีตั้งสาม...
QUEST_LV_0400_20161005_000116	{nl}You don't seem to be just another traveler for some reason...	{nl}คุณดูไม่เหมือนนักเดินทางคนอื่นๆ ด้วยเหตุผลบางประการ...
QUEST_LV_0400_20161005_000117	"Whatever the case may be, the Gosal is gone, so we'll be able to go there.{nl}We'll have to check Tarkha Lot to see what the object is."	จากกรณีที่ Gosal ได้หายไปนั้น {nl}พวกเราจะไปที่ Tarkha Lot เพื่อตรวจสอบค้นหาว่าอะไรเป็นสาเหตุของเหตุการณ์ในครั้งนี้
QUEST_LV_0400_20161005_000118	This thing that looks like a tree is actually an monument.{nl}This is all because of the spell.	สิ่งนี้ดูเหมือนต้นไม้ซึ่งจริงๆ แล้วมันคืออนุสาวรีย์{nl}ทั้งหมดนี้เป็นเพราะเวทมนตร์
QUEST_LV_0400_20161005_000119	{nl}We'll dispell it with the orb you've recovered for us.	{nl}เราจะทำการล้างมันด้วยลูกแก้วที่คุณได้นำมันมาคืนเรานั่นเอง
QUEST_LV_0400_20161005_000120	The monument has now returned to it's original shape.{nl}We'll now find any pieces of misinformation and correct them.	อนุสาวรีย์ได้กลับมามีรูปทรงเหมือนเดิมแล้ว{nl}ตอนนี้เราจะหาและรวบรวมชิ้นส่วนอื่นๆ ที่สูญหายไป
QUEST_LV_0400_20161005_000121	"We've finished correcting this one, so we'll have to search for other monuments."	พวกเราทำการรวบรวมเรียบร้อยแล้ว ดังนั้นเราจะค้นหาอนุสาวรีย์อื่นๆ ต่อไป
QUEST_LV_0400_20161005_000122	"{nl}Please, follow me."	{nl}กรุณาตามฉันมา
QUEST_LV_0400_20161005_000123	Here it is.{nl}I will dispell the magic that is cast on the monument.	ที่นี่{nl}ฉันจะล้างเวทมนตร์ที่อยู่บนอนุสาวรีย์
QUEST_LV_0400_20161005_000124	I think that the spores from this bracken have caused the paralysis.{nl}I can't dispell the magic in this state.	ฉันคิดว่าสปอร์จากเฟิร์นนี้ทำให้เป็นอัมพาต{nl}ฉันไม่สามารถล้างเวทมนตร์ในสถานการณ์นี้ได้
QUEST_LV_0400_20161005_000125	{nl}We'll have to wait for me to be able to move again.	{nl}เราจะต้องรอเพื่อทำการเคลื่อนย้ายอีกครั้ง
QUEST_LV_0400_20161005_000126	{nl}You can find Mittelly Herbs near Ausne Lot.{nl}Mittelly Herbs are known to cure such issues.	{nl}คุณสามารถพบ Mittelly Herbs ที่อยู่ใกล้ๆกับ Ausne Lot{nl}Mittelly Herbs เป็นที่รู้จักกันในการแก้ปัญหาดังกล่าว
QUEST_LV_0400_20161005_000127	There should be plenty of Mittelly Herbs near Ausne Lot.	ที่นั่นควรจะเต็มไปด้วย Mittelly Herbs ใกล้ๆ กับ Ausne Lot
QUEST_LV_0400_20161005_000128	{nl}I'm sorry for being so dependant when you simply volunteered to help...	{nl}ฉันต้องขอโทษสำหรับสิ่งที่เกิดขึ้นถึงแม้คุณพร้อมเต็มใจที่จะช่วยเหลืออยู่แล้วก็ตาม...
QUEST_LV_0400_20161005_000129	There are people that have started to deny the existance of the Goddesses after they have all disappeared.{nl}I want to help them believe once more.	มีบางคนไม่เชื่อในเทพธิดาตั้งแต่พวกเธอได้หายไป{nl}ฉันปรารถนาว่าจะสามารถช่วยพวกเขาให้กลับมาเชื่อมั่นได้อีกครั้ง
QUEST_LV_0400_20161005_000130	{nl}However...{nl}I lost my faith in people... as well as the Seed...{nl}{nl}	{nl}อย่างไรก็ตาม...{nl}ฉันได้สูญเสียความน่าเชื่อถือไป...เฉกเช่นเดียวกับเมล็ดพันธุ์ฉันนั้น...{nl}{nl}
QUEST_LV_0400_20161005_000131	At this rate...{nl}I am afraid that I might lose all faith in humanity...{nl}Not a good thing for a priest...	อย่างที่เป็นอยู่นี้่...{nl}ฉันกลัวว่าฉันอาจจะสูญเสียความเชื่อมั่นในความเป็นมนุษย์ไป...{nl}มันไม่ใช่สิ่งที่ดีสำหรับนักบวช...
QUEST_LV_0400_20161005_000132	"Ah, that feels much better.{nl}I don't think it has completely healed me, but it is enough to allow me to dispell the magic."	อ่า...นี่ให้ความรู้สึกดีมากๆ{nl}ฉันไม่คิดว่ามันจะสามารถช่วยรักษาฉันให้หายสนิทได้ แต่มันเพียงพอที่จะทำให้ฉันล้างเวทมนตร์นี้ได้
QUEST_LV_0400_20161005_000133	All Vaivora's Koru is able to tell us is that Goddess Ausrine is in a mysterious place.	Vaivora's Koru ทั้งหมดสามารถที่จะบอกเราได้ว่า Goddess Ausrine อยู่ในสถานที่ลึกลับ
QUEST_LV_0400_20161005_000134	What do you think that the mysterious place will look like?{nl}We have more questions than answers...	อะไรที่คุณคิดว่าสถานที่ลึกลับจะมีลักษณะเช่นนี้?{nl}เรามีคำถามมากมายที่ไม่สามารถตอบได้...
