QUEST_20150317_000001	Please select the user requiring a quest update.	กรุณาเลือกผู้ใช้ที่ต้องรับการอัพเดทเควส
QUEST_20150317_000122	Chupacabras are fond of the streams and lush vegetation of the northern area.	Chupacabra มันชอบลำธารและก็พืชพันธุ์ที่เขียวชอุ่มของพื้นที่ทางเหนือ
QUEST_20150317_000123	Klaipeda Guard Captain	Klaipeda Guard Captain
QUEST_20150317_000124	You're the...	นี่ท่านคือ…
QUEST_20150317_000125	It looks like you can see into the upper forest from here. {nl}Try not to get into trouble.	ดูเหมือนท่านจะสามารถมองเห็นแนวป่าด้านบนได้จากตรงนี้นะ{nl}ระวังตัวด้วยล่ะ
QUEST_20150317_000126	You don't have the required quest item. Are you sure you want to continue?	ท่านไม่มีไอเทมที่จำเป็นสำหรับการทำเควส ท่านแน่ใจหรือไม่ว่าต้องการดำเนินการต่อ?
QUEST_20150317_000127	Klaipeda Girl	Klaipeda Girl
QUEST_20150317_000128	My neighbor used to be a monster hunter. {nl}He's retired now though. It has gotten extremely dangerous.	เพื่อนบ้านของข้าก็เคยเป็นนักล่าสัตว์ประหลาดเหมือนกันนะ{nl}แต่เขาเลิกทำอาชีพนั้นแล้วล่ะ เขาบอกว่ามันเริ่มจะอันตรายเกินไปแล้ว
QUEST_20150317_000129	It would be nice if all these Revelators being here meant that the goddesses are back.	ข้าอยากให้การที่พวก ผู้หยั่งรู้ มารวมตัวกันที่นี่หมายความว่าเหล่าเทพธิดากำลังจะกลับมาจัง
QUEST_20150317_000130	"It might be silly to hope for the goddess' return, but it's better than nothing."	มันอาจจะเป็นเรื่องงี่เง่าที่ยังหวังให้เหล่าเทพธิดากลับมา แต่มันก็ดีกว่าไม่มีความหวังอะไรเลย
QUEST_20150317_000131	Klaipeda Lady	Klaipeda Lady
QUEST_20150317_000132	"We can still grow from the land, and have a warm hearth at our homes to rest at. {nl}I will always believe the goddesses are somewhere in the world."	พวกเรายังสามารถเติบโตได้บนแผ่นดินนี้ และยังคงมีบ้านอุ่นๆ ให้เราได้อาศัย{nl}ข้ายังเชื่อเสมอว่าเหล่าเทพธิดาไม่ได้หายไปไหน พวกนางยังอยู่ที่ไหนสักแห่งในโลกนี้แน่นอน
QUEST_20150317_000133	Keep faith. {nl}The goddesses may still send a Savior to us.	จงมีศรัทธา{nl}ข้าเชื่อว่าองค์เทพธิดาจะต้องส่งผู้กอบกู้มาช่วยพวกเราแน่ๆ
QUEST_20150317_000134	Hoplite Master	Hoplite Master
QUEST_20150317_000135	"If the sword is a symbol of power, then the spear is that of pure destruction. {nl}Power or destruction - what would you reach for on the battlefield?"	ถ้าดาบคือเครื่องหมายแห่งอำนาจ อย่างนั้นหอกก็เป็นดั่งเช่นการทำลายล้าง{nl}ท่านไขว่คว้าหาสิ่งใดเมื่อต้องลงสู่สนามรบ อำนาจ หรือ การทำลายล้าง?
QUEST_20150317_000136	Machine Worker	Machine Worker
QUEST_20150317_000137	"Even with the world as chaotic as it is, we can't stop working. {nl}It's been four years. Isn't it time to make peace with the past and start over?"	ขนาดโลกกำลังปั่นป่วนขนาดนี้ แต่พวกเราก็ยังหยุดทำงานไม่ได้{nl}นี่ก็ผ่านมาตั้ง  ปีแล้ว มันยังไม่ถึงเวลาที่เราจะสงบศึกแล้วก็เริ่มต้นชีวิตใหม่กันอีกเหรอ?
QUEST_20150317_000138	"Klaipeda is a town that lives off its mining. {nl}With Medzio Diena, we ought to work on planting trees or cutting them."	รายได้หลักของเมือง Klaipeda น่ะมาจากการทำเหมืองซะเป็นส่วนใหญ่{nl}แต่หลังจากวันแห่งต้นไม้ศักดิ์สิทธิ์ข้าว่าเราน่าจะเปลี่ยนไปทำอุตสาหกรรมตัดไม้มากกว่า
QUEST_20150317_000139	"My old man did this thing where he checked around corners for anything nice. {nl}Sometimes, he'd get lucky and find a nice treasure chest. I wonder who leaves them there."	พ่อของข้าน่ะมีนิสัยแปลกๆ อยู่อย่างนึง เขาจะตรวจเช็คทุกหลืบ ทุกซอก ทุกมุมที่เขาผ่านเลยนะ ตาแก่นั่นหวังว่าจะเจออะไรที่มีค่าเข้าน่ะสิ{nl}แต่บางครั้งเขาก็ดวงดีจนน่าเหลือเชื่อ มีอยู่ครั้งหนึ่งเขาเจอสมบัติเป็นหีบเลยล่ะ แต่ข้าสงสัยจริงๆ ว่าใครกันที่เอามันไปวางไว้ที่นั่น
