QUEST_LV_0200_20150317_000001	Philipas' Soldier	ทหารของPhilipas
QUEST_LV_0200_20150317_000120	Joint Investigation Unit Member Ukirt	เข้าร่วมเป็นสมาชิกของหน่วยสืบค้น Ukirt
QUEST_LV_0200_20150317_000121	Scott and Frey did a good job. What do you think of it?{nl}I don't think so that Vubbe can't create themself.{nl}I will have to check what they do using this.{nl}	Scott และFreyทำงานได้ดี คุณคิดอย่างไรกับมัน?{nl}ฉันไม่คิดว่าVubbe จะไม่สามารถสร้างได้ด้วยตัวมันเอง{nl}ฉันจะตรวจสอบสิ่งที่พวกเขาใช้สิ่งนี้{nl}
QUEST_LV_0200_20150317_000122	"There may be something inside the supply boxes that the soldiers left a long time ago.{nl}You will find some old supply boxes up there.{nl}Can you go there and check? If we obtain some clues there, we may get an answer."	มีบางสิ่งอยู่ภายในกล่องเสบียงที่เหล่าทหารได้ทิ้งไว้เป็นเวลานานแล้ว{nl}คุณจะสามารถหากล่องเสบียงเก่าๆเหล่านี้ได้ที่นั่น{nl}คุณสามารถไปที่นั่นและตรวจสอบได้หรือไม่?  หากเราได้รับเบาะแสบางอย่าง เราอาจจะได้รับคำตอบก็เป็นได้
QUEST_LV_0200_20150317_000123	"If you go back the way you just came, you will see an observatory tower on the hills.{nl}I hope the monsters haven't touch it yet.."	หากคุณกลับไปทางที่คุณเพิ่งผ่านมา คุรจะเห็นหอชมวิวบนเนินเขา{nl}ฉันหวังว่าเหล่ามอนสเตอร์จะยังไม่ได้สัมผัสมัน..
QUEST_LV_0200_20150317_000124	Are they really planning something?{nl}Something.. is suspicious..	จริงหรือไม่ที่พวกเขาได้ทำการวางแผนอะไรบ้างอย่าง?{nl}บางสิ่ง.. ที่น่าสงสัย..
QUEST_LV_0200_20150317_000125	"The Vubbes broke the supply boxes and ran away with this?{nl}Why? Were they really making it?{nl}No way, they aren't smart enough to do that.{nl}"	Vubbesทำลายกล่องเสบียงเหล่านี้และวิ่งหนีไปพร้อมกับมันหรือ?{nl}ทำไม?พวกมันทำจริงๆหรือ?{nl}ไม่มีทาง มันไม่ฉลาดพอที่จะทำแบบนั้นได้{nl}
QUEST_LV_0200_20150317_000126	Good! We should pay attention and solve the problem!	ดี! เราควรจะให้ความสนใจและแก้ไขปัญหา!
QUEST_LV_0200_20150317_000127	Okay. Are you ready?{nl}	ตกลง คุณพร้อมหรือยัง?{nl}
QUEST_LV_0200_20150317_000128	"Before you came, I saw Vubbes moving in groups.{nl}Go to Gebene Cliffs and see how the situation is."	ก่อนที่คุณจะมา ฉันเหล่าเหล่าVubbes เคลื่อนไหวภายในกลุ่มm{nl}จงไปที่หน้าผาGebene และดูว่าจะทำอย่างไรกับสถานการณ์นี้
QUEST_LV_0200_20150317_000129	The Vubbes were always involved with anything that happened here.{nl}It can't be just a coincidence..	เหล่า Vubbe มีส่วนร่วมกับทุกสิ่งที่เกิดขึ้นที่นี่เสมอ{nl}มันไม่สามารถเป็นเพียงเรื่องบังเอิญได้..
QUEST_LV_0200_20150317_000130	I think.. I understand now. {nl}I think that was like a big factory creating huge monsters called Woodspirits.{nl}	ฉันคิดว่า..ฉันเข้าใจมันแล้วตอนนี้. {nl}ฉันคิดว่าเป็นเหมือนโรงงานขนาดใหญ่ได้ทำการสร้างมอนสเตอร์ขนาดใหญ่ที่เรียกว่า Woodspirits{nl}
QUEST_LV_0200_20150317_000131	The flag of Vubbes must have called in the ghosts.{nl}Then they polluted the trees and created huge monsters.{nl}	ธงของ Vubbesจะถูกเรียกว่าภูติผี{nl}จากนั้นพวกมันทำให้ต้นไม้สกปรกและสร้างมอนสเตอร์ขนาดใหญ่ขึ้นมา{nl}
QUEST_LV_0200_20150317_000132	That tree barks must have been the ingredients for making Woodspirits.{nl}There's no way those Vubbes could do it alone.{nl}They must have received an order from somebody!	เปลืองของต้นไม้ต้องเป็นส่วนผสมเพื่อใช้ทำ Woodspirits{nl}ไม่มีทางที่Vubbes เหล่านั้นจะสามารถทำมันได้เพียงลำพัง {nl}มันต้องได้รับคำสั่งจากใครบางคน!
QUEST_LV_0200_20150317_000133	"We may find some decisive evidence at the place where the Vubbes are grouped together.{nl}If Prey sees this, it will like it!"	เราอาจพบหลักฐานบางอย่างอย่างแน่นอนที่สถานที่ที่ Vubbesได้มีการรวมกลุ่มกัน{nl}หาก If Prey เห็นสิ่งนี้ก็จะชอบมัน!
QUEST_LV_0200_20150317_000134	Vubbes are not very smart so he must have made only simple orders.{nl}How could he think about controlling those Vubbes..{nl}I don't know what to say. {nl}	Vubbes ไม่ได้ฉลาดมากนักดังนั้นเขาต้องทำคำสั่งง่ายๆเท่านั้น{nl}เขาคิดเกี่ยวกับการควบคุมเหล่า Vubbes อย่างไร..{nl}ฉันไม่รู้ว่าจะพูดอะไร{nl}
QUEST_LV_0200_20150317_000135	I am sure that Woodspirits are created from various places.{nl}I can sense vicious energies coming. {nl}We should first destroy the flags that are creating Woodspirits!	ฉันแน่ใจว่า Woodspirits ถูกสร้างจากสถานที่ต่างๆ{nl}ฉันสามารถรับรู้พลังงานชั่วร้ายกำลังมา{nl}เราควรจะทำลายธงที่สร้างWoodspirit ก่อน!
QUEST_LV_0200_20150317_000136	Leave as soon as you are ready. {nl}The best course of action for now is to stop the creation of Woodspirits..	อยากมาให้เร็วที่สุดหากคุณพร้อม{nl}การกระทำที่ดีที่สุดสำหรับตอนนี้คือต้องหยุดการสร้างWoodspirits..
